,page,country,rev_id,predictions
104,Ministry of Economy and Finance (Benin),Benin,647450883,Stub
105,Gheorghe Barbu,Romania,647483021,Stub
106,Pan Yunduan,China,647832959,Stub
107,Otto Elfving,Finland,647893858,Stub
108,List of Sri Lankan politicians,Sri Lanka,648048611,Stub
109,Fathema Ismail,India,648271473,Stub
110,Rafael Simancas,Spain,650458255,Stub
111,Adela Serra-Ty,Philippines,650462344,Stub
112,Muhammad al-Ghafri,Syria,650494773,Stub
113,Augustus Joseph Tancred,Cape Colony,651250302,Stub
114,Eneida de León,Uruguay,651785828,Stub
115,Read family of Delaware,United States,651856758,Stub
116,Johan Conrad Silberbauer,Cape Colony,653467222,Stub
117,Rossy Barbour,Canada,653527941,Stub
118,Reginald Nii Bi Ayibonte,Ghana,653895210,Stub
119,Franz Schimmelpfennig von der Ove,Poland,654012510,Stub
120,Ville Korhonen (politician),Finland,655031906,Stub
121,Onni Hallsten,Finland,655032578,Stub
122,Yosia Nadiope of Busoga,Uganda,655390291,Stub
123,María del Socorro Bustamante,Colombia,655980284,Stub
124,Enrique Pintado,Uruguay,656352211,Stub
125,Instructions of the Year XIII,Uruguay,656386131,Stub
126,Governor of Gagauzia,Moldova,656737492,Stub
127,Neferkheperu-her-sekheper,Egypt,657176628,Start
128,Abeifaa Karbo,Ghana,658939122,Stub
129,Auguste Louis Antoine Fabre,France,659315526,Stub
130,Maksud Ibragimov,Tajikistan,660214915,Start
131,Miguel R. Morales,Nicaragua,660579437,Stub
132,Aljoša Čampara,Bosnia-Herzegovina,660884852,Start
133,Walter Simon (philanthropist),Germany,662681733,Start
134,Abu Sayyaf (Jordan),Jordan,662927043,Start
135,List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604,Stub
136,Torsten Nielsen,Denmark,663166199,Stub
137,"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266,Stub
138,Mufti Abdullah,Pakistan,663572469,Stub
139,William Matthew Harries,South Africa,663617582,Stub
140,Maanu Paul,New Zealand,663783398,Stub
141,County governor (Lithuania),Lithuania,663880497,Stub
142,Burhan Muhammad,Indonesia,664532059,Stub
143,Martim Afonso de Brito,Portugal,664669156,Stub
144,Gonghe Regency,China,664787336,Stub
145,Irshadali Sumra,Kenya,664793790,Stub
146,Koufu,China,664814622,Stub
147,Political families of Odisha,India,664822251,Stub
148,Firmin Aerts,Belgium,666029819,Stub
149,James Cotterell Hoole,Cape Colony,666596918,Stub
150,Philip Johannes Andries Watermeyer,South Africa,666610075,Start
151,Ioan Rus,Romania,666752677,Stub
152,Pieter Adrianus Ossewaarde,Netherlands,667194771,Stub
153,Christoffel van Swoll,Netherlands,667198201,Start
154,National Foundation for Women Legislators,United States,667815878,Start
155,Les Scheininger,Canada,667821864,C
156,Patrick Canning,Canada,667873261,Start
157,Kalina Krumova,Bulgaria,667906849,Start
158,Pierre Chatenet,France,668091068,Stub
159,Henry Soum,Monaco,668095014,Stub
160,Brij Bhushan Mehra,India,668258382,Stub
161,Aurelian Pavelescu,Romania,668449610,Stub
162,Madut Kon Awan,South Sudan,668830946,Stub
163,Taieb Ghafes,Morocco,669266906,Stub
164,Teodor Andrault de Langeron,Poland,669301445,Stub
165,Harry Davies (politician),Rhodesian,669387487,Start
166,Ghassan Ashqar,Lebanon,669444168,Stub
167,Magnús Orri Schram,Iceland,669565720,Stub
168,Wusu Sannoh,Sierra Leone,669571173,Stub
169,Kuri II of Kanem,Chad,669719757,Stub
170,Laroussi Mizouri,Tunisia,669831602,Stub
171,Hashid Abdullah al-Ahmar,Yemen,669833212,Stub
172,Erkin Alymbekov,Kyrgyzstan,669833349,Stub
173,Angelo Staniscia,Italy,669835390,Stub
174,Malik Adnan Hayat Noon,Pakistan,669841183,Stub
175,Samou Seidou Adambi,Benin,669855022,Stub
176,Porfirio Smerdou,Mexico,669862709,Stub
177,Lise Nordin,Sweden,669869895,Stub
178,Fletcher Dulini,Zimbabwe,669981316,Stub
179,Krzysztof Abrahamowicz,Poland,669985109,Stub
180,Dilaver Bey,Turkey,669987106,NotFound
181,Horace Mann Thu-Jaune,Madagascar,670134982,Stub
182,Patrick Goold,Cape Colony,670210734,Start
183,Murad Quenili,Afghanistan,670462475,Stub
184,Bir II of Kanem,Chad,670893206,Stub
185,Gerald Hill (politician),Canada,670917017,Stub
186,List of Presidents of Alsace,France,670960027,Stub
187,John R. O'Dea,Canada,670971940,Stub
188,Annaberdi Kakabaýew,Turkmenistan,671016281,Stub
189,Salim Yahya al-Kharega,Yemen,671023940,Stub
190,Faida Mohamed Bakar,Tanzania,671029717,Stub
191,Hosea Kiplagat,Kenya,671032132,Stub
192,Michael D. Lett,Grenada,671047987,Stub
193,Than Sina,Cambodia,671073599,Stub
194,Samuel J. Hefferton,Canada,671122320,Start
195,Armen Rustamyan,Armenia,671189093,Stub
196,Abdulahi Ahmed Afrah,Somalia,671338098,Stub
197,Ólafur Garðar Einarsson,Iceland,671338216,Stub
198,Badar,Afghanistan,671455150,Stub
199,Dušan Švantner,Slovakia,671461616,Stub
200,Óli Þorbjörn Guðbjartsson,Iceland,671462644,Stub
201,Mohammed Qalamuddin,Afghanistan,671473289,Stub
202,Patrick Bourson,France,671475479,Stub
203,Lininy,Madagascar,671483959,Stub
204,Bharat Saud,Nepal,671484594,NotFound
205,Azeez Issa Adesiji,Nigeria,671511760,Stub
206,Toluono Feti,Samoan,671515606,Stub
207,Ali al-Bahadili,Iraq,671516033,Stub
208,Valerian Revenco,Moldova,671637265,Stub
209,Presidential Palace Historical Site,Vietnam,671868722,Stub
210,Viktor Antonov,Russia,671890885,Stub
211,Elsa Malpartida,Peru,671891037,Stub
212,Rasoanaivo,Madagascar,671895550,Stub
213,Sadio Lamine Sow,Mali,671897239,Stub
214,Narayan Sharma Paudel,Nepal,671903264,Stub
215,Mataʻiʻulua ‘i Fonuamotu,Tonga,672119030,Stub
216,San Tun,Myanmar,672156082,Stub
217,Masahiro Futahashi,Japan,672284154,Stub
218,Yannis Moralis (politician),Greece,672515581,Stub
219,Macarena Escudero,Argentina,672547562,Stub
220,André Boulloche,France,672709444,Stub
221,Miroslav Poche,Czech Republic,672862914,Stub
222,Vojtěch Mynář,Czech Republic,673008587,Stub
223,Norma Colpari,Argentina,673393730,Stub
224,Roosevelt Jayjay,Liberia,674487383,Stub
225,Joshua Nii Laryea Afotey-Agbo,Ghana,674576443,Stub
226,Military Committee of the Congolese Party of Labour,Congo,674702694,Stub
227,Speaker of the Legislative Assembly of Montserrat,Montserratian,674919905,Stub
228,Ahmad bin Eid al-Thani,Qatar,675271208,Stub
229,Liga Federal,Uruguay,675303236,C
230,George Samuel Ranglin,Jamaica,675376529,Stub
231,Rubén Pellanda,Argentina,676040670,Stub
232,Raúl Lacabanne,Argentina,676043559,Stub
233,Juan Carlos Reyes (governor),Argentina,676044272,Stub
234,Bernardo Bas,Argentina,676498385,Stub
235,Alexander Dunphy,Canada,676610041,Stub
236,Gordon Dawe,Canada,676612108,Stub
237,Bijai Prasad,Fiji,676661990,Stub
238,Barton Scotland,Guyana,676691070,Stub
239,Paul Thoms,Canada,676732644,Stub
240,Frederick B. Rowe,Canada,676734572,Stub
241,Allan Evans (politician),Canada,676782180,Stub
242,Andries Botha,Cape Colony,676828191,B
243,Asesela Sadole,Fiji,676841743,Stub
244,Luke Woodrow,Canada,676947124,Stub
245,William G. Patterson,Canada,677094551,Stub
246,Simeon Bouro,Solomon Islands,677317570,Start
247,Salisu Buhari,Nigeria,677435096,Stub
248,Hou Zongbin,China,677516121,Stub
249,Jorge Zavala,Ecuador,677523953,Stub
250,Harry Quaderer,Liechtenstein,677568976,Stub
251,Freeman White (politician),Canada,677724847,Stub
252,Leneuoti Matusi,Tuvalu,677747943,Stub
253,Second Toafa Ministry,Tuvalu,677750304,Start
254,William J. MacNeil,Canada,677769770,Stub
255,Miguel Cané,Argentina,677786528,Start
256,Gabriel Antonio Pereira,Uruguay,677974642,Stub
257,Wilhelm Wallbaum,Germany,678140107,Stub
258,List of São Toméan politicians,Sao Tome and Principe,678440540,Stub
259,Larbi Messari,Morocco,678532348,Start
260,Sergey Zorin,Russia,678595657,Stub
261,Fakhrul Islam,Pakistan,678638092,Stub
262,Cora Amalia Castilla,Mexico,678721991,Stub
263,Victor Macky,New Zealand,679247120,Start
264,Joaquín Escolán y Balibrera,Salvadoran,679294949,Stub
265,Mohamed Mohamud Hayd,Somalia,679509452,Stub
266,Sergey Kalyakin,Belarus,679547012,Stub
267,List of Slovenian politicians,Slovenia,679559247,Stub
268,Mateo Vidal,Uruguay,679591301,Stub
269,John Collins (Canadian politician),Canada,679623758,Stub
270,Osea Gavidi,Fiji,679873929,Start
271,Cui Yuying,China,680016822,Start
272,Abdul Rahim Ishak,Singapore,680036029,Start
273,Gumercinda Páez,Panama,680071857,GA
274,Des Dalton,Ireland,680161213,Start
275,Claude Pivi,Guinea,680174895,Stub
276,Charles William Hutton,Cape Colony,680205631,C
277,Bernardo Grinspun,Argentina,680370867,Stub
278,Chairman of the Island Council (Pitcairn),Pitcairn Islands,680532939,Stub
279,Michael Konelios,Marshall Islands,680614363,Stub
280,Malik Khuda Buksh Tiwana,Pakistan,680618398,Stub
281,Barry Hynes,Canada,680618797,Stub
282,"Domonkos II, Archbishop of Esztergom",Hungary,680629551,Stub
283,Veríssimo Aguiar Cabral,Portugal,680680191,Stub
284,Federico Policani,Panama,680722683,Stub
285,Alexander Barybin,Russia,680886613,Stub
286,Hossam Arafat (politician),Palestinian Territory,680933208,Stub
287,Book:Australian Prime Ministers,Australia,680981536,NotFound
288,Laura Alvarez,United Kingdom,681177706,Stub
289,Mirosław Czech,Poland,681605695,Stub
290,Poli Karastoyanova,Bulgaria,682145001,Start
291,Actisanes,Ethiopia,682149007,Stub
292,Azhar Cachalia,South Africa,682166816,Stub
293,William Fairbridge,Rhodesian,682576258,Start
294,Simona-Alice Man,Romania,682928660,Stub
295,Jerônima Mesquita,Brazil,683020488,Stub
296,Jose Solis,Philippines,683282915,Stub
297,Viriato Fiallo,Dominican Republic,683417360,Start
298,Rodolfo Gabrielli,Argentina,683631802,Stub
299,Eli Wong,Malaysia,683715284,Stub
300,Horácio de Matos,Brazil,683946857,Stub
301,Robert Sych,Poland,684023803,NotFound
302,Marek Krzysztof Jeleniewski,Poland,684023859,NotFound
303,Brendan Howard,Canada,684050793,Stub
304,Benigno Andrade Flores,Ecuador,684060626,Stub
305,Yury Zaostrovtsev,Russia,684179656,Stub
306,Patrick Mutono,Uganda,684295893,Stub
307,Giuseppe Fenaroli Avogadro,Italy,684464777,Stub
308,Afonso Pedro Canga,Angola,684499128,Stub
309,Wilhelm von Wedell-Piesdorf,Germany,684525811,Stub
310,Hans Graf von Schwerin-Löwitz,Germany,684537777,Stub
311,Geoff Muntz,Australia,684542057,Start
312,Martiros Sarukhanyan,Armenia,684660655,Stub
313,Maria del Pilar Hurtado,Colombia,684804678,Stub
314,Giovanni Bovara,Italy,684821806,Start
315,Zvonimir Mršić,Croatia,684859066,Stub
316,Julius Muthamia,Kenya,684879320,Start
317,Wilson Callan,Canada,684903534,Stub
318,Rod Moores,Canada,684903869,Stub
319,Georges Adwan,Lebanon,685116600,Stub
320,Muhammad Musa al-Amri,Yemen,685320824,Start
321,Murray Hill Incorporated,United States,685347694,Stub
322,Aníbal Diniz,Brazil,685720694,Stub
323,Slaheddine Ben Mbarek,Tunisia,686050095,Stub
324,Ali Fawzi Rebaine,Algeria,686269631,Stub
325,Jochen Ott,Germany,686349441,Stub
326,Aleksander Miller,Poland,686375687,Stub
327,Sergei Gaidukevich,Belarus,686406513,Stub
328,President of Taiwan,Taiwan,686619225,Stub
329,Siosifa Tuʻitupou Tuʻutafaiva,Tonga,686777395,Start
330,Qandil Cabinet,Egypt,687093229,C
331,Ivo Andrić-Lužanski,Bosnia-Herzegovina,687109778,Stub
332,Earl Asim Martin,Saint Kitts and Nevis,687127320,Stub
333,Raúl Borrás,Argentina,687130572,Stub
334,Roque Carranza,Argentina,687134370,Stub
335,Germán López (politician),Argentina,687138552,Stub
336,Electoral history of Mohammad Khatami,Iran,687159388,Start
337,Electoral history of Mahmoud Ahmadinejad,Iran,687159391,Start
338,Electoral history of Ali Larijani,Iran,687159546,Start
339,Meng Xiangwei,China,687160422,Stub
340,House of Theemuge,Maldives,687285060,Stub
341,Ata Messan Ajavon Zeus,Togo,687492743,Stub
342,John Rogers (Irish lawyer),Ireland,687613810,Stub
343,Mustafa Osman Obeid Salim,Sudan,687837173,Stub
344,Tito Hoz de Vila,Bolivia,687882717,Start
345,Alexandré Barro Chambrier,Gabon,688145583,Start
346,Md. Moniruzzaman Moni,Bangladesh,688430552,Stub
347,Benjamin Green Freeman,Liberia,688501356,Stub
348,Han Tha Myint,Myanmar,688524967,Stub
349,Willem Buys,Netherlands,688537236,Stub
350,Joseph Gustave Ernest Allard,Belgium,688590526,Stub
351,Takis Papageorgopoulos,Greece,688695923,Stub
352,List of 2010 Canadian incumbents,Canada,688697227,Start
353,Zhu Haowen,China,688763099,Stub
354,Abu Samah Mohd Kassim,Malaysia,689248087,Stub
355,Stanislaus Okurut,Uganda,689614169,Stub
356,Ilmi Hallsten,Finland,689893447,Stub
357,Zhao Dezun,China,689932213,Stub
358,Mario Occhiuto,Italy,689944992,Stub
359,Leszek Deptuła,Poland,689950541,Stub
360,Sergei Walter,Ukraine,690074710,Start
361,List of mayors of Radoviš,Macedonia,690088836,Stub
362,"Péter Szilágyi (politician, 1981)",Hungary,690152474,Start
363,Harold Collins (Canadian politician),Canada,690205437,Stub
364,R. G. Balan,Malaysia,690430012,Stub
365,Vítor Aleixo,Portugal,690548204,Stub
366,Tuomas Pohjanpalo,Finland,690700220,Stub
367,Zhang Chang (Han),China,690768683,Stub
368,Lei Chunmei,China,690770856,Stub
369,Franci Slak,Slovenia,691045510,Start
370,Abdus Sattar Mondal,Bangladesh,691201135,Stub
371,Bashir Saadawi,Libya,691346630,Stub
372,Igwe Aja-Nwachukwu,Nigeria,691389889,Stub
373,Speaker of the Legislative Assembly of the Province of Canada,Canada,691747234,Stub
374,Josif Pashko,Albania,692123101,Stub
375,Ahmed Jamsheed Mohamed,Maldives,692141335,Stub
376,Kerfalla Yansané,Guinea,692173141,Stub
377,Amadou Konare,Mali,692298286,Stub
378,João Alberto de Souza,Brazil,692475749,Stub
379,Mote Terukaio,Kiribati,692502721,Stub
380,Tekiau Aretaateta,Kiribati,692502986,Stub
381,Marie-José Laloy,Belgium,692684868,Stub
382,Émile Marie Laurent,France,693011077,Stub
383,Mahamat Hissene,Chad,693055898,Stub
384,Rafael Tobias de Aguiar,Brazil,693179500,Stub
385,Phạm Thị Trân Châu,Vietnam,693208023,Stub
386,David Pacha,Solomon Islands,693211421,Stub
387,Charles Oboth Ofumbi,Uganda,693292931,Start
388,Lu Ruilin,China,693336296,Stub
389,Lalbuaia,India,693337130,Stub
390,Ian Brossat,France,693338177,Stub
391,Yuan Baocheng,China,693354280,Stub
392,Pumla Kisosonkole,Uganda,693388584,Start
393,Ivo Nesrovnal,Slovakia,693431430,Stub
394,Pekka Pesola,Finland,693514155,Stub
395,Jean Capelle (politician),France,693552292,Stub
396,Magnús Norðdahl,Iceland,693573541,Stub
397,John Blades Currey,Cape Colony,693624260,Stub
398,Li Zaihe,China,693661018,Stub
399,Guillermo Montenegro,Argentina,693714773,Stub
400,Khas-Ochiryn Luvsandorj,Mongolia,693721533,Stub
401,Michele Columbu,Italy,693748230,Stub
402,Li Sancai,China,693817205,C
403,Martin Zephyr,Guyana,694039903,Stub
404,Khadyr Saparlyev,Turkmenistan,694084978,Stub
405,Arouna Mama,Benin,694112087,Stub
406,List of Dutch politicians,Netherlands,694313944,B
407,Robert Bohn Sikol,Vanuatu,694335820,C
408,Javier Reátegui,Peru,694337217,Stub
409,Mamadou Djigué,Mali,694364743,Stub
410,Zaur Avidzba,Abkhazia,694519009,Start
411,Nyamyn Jagvaral,Mongolia,694557304,Start
412,Mahadeo Deole,India,694588693,Stub
413,Ngo Dinh Khoi,Vietnam,694815600,Stub
414,Jorge Lemus,Argentina,694889020,Stub
415,Viktor Magnus von Born,Finland,694949199,Stub
416,Lennart Byman,Finland,694949347,Stub
417,Hamid Khan Achakzai,Pakistan,694954386,Stub
418,Johan Helo,Finland,694969219,Stub
419,Gunnar Henriksson,Finland,694969272,Stub
420,Cecilia Soria,Argentina,695276940,Stub
421,Francisco de Arango y Parreño,Cuba,695389357,Start
422,Tian Xiangli,China,695393414,Stub
423,Ridha Charfeddine,Tunisia,695405443,Stub
424,Tjapko Poppens,Netherlands,695633280,Stub
425,Pradip Kumar Gyawali,Nepal,695644408,Start
426,Thierry Poyet,Monaco,695938011,Stub
427,Eric Elena,Monaco,695941127,Stub
428,Kalikst Witkowski,Poland,696119166,Stub
429,Nikos Markatos,Greece,696253449,Start
430,Dobrilo Dedeić,Montenegro,696310078,Stub
431,Navin Patel,Fiji,696350624,Stub
432,Christopher Nwankwo,Nigeria,696479863,Stub
433,Electoral history of Atal Bihari Vajpayee,India,696606312,Stub
434,Khanzahi,Iran,696608092,NotFound
435,Palden Tsering Gyamtso,India,696608668,Stub
436,Soledad Sosa,Argentina,697009255,Stub
437,Shafi U Ahmed,Bangladesh,697267319,Stub
438,Omar Benjelloun,Morocco,697280332,Stub
439,Fernão Martins da Fonseca Coutinho,Portugal,697369222,Stub
440,Jean-François Robillon,Monaco,697507956,Start
441,Lhatu Wangchuk,Bhutan,697511001,Stub
442,Tek Bahadur Gurung,Nepal,697556836,Start
443,Mohammad Sultan,Bangladesh,697559666,Start
444,Gaya Prasad,India,697662367,Stub
445,Political Bureau of the Central Committee of FRELIMO,Mozambique,697742639,Stub
446,Old Men Forget,United Kingdom,697897076,Stub
447,Satini Manuella,Tuvalu,697908533,Stub
448,S. Ganesan,India,698048774,Stub
449,"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",Canada,698077739,Stub
450,"Salvador Bermúdez de Castro, 2nd Duke of Ripalda",Spain,698093715,Start
451,Rameshwor Phuyal,Nepal,698241676,Stub
452,Rishi Kattel,Nepal,698253253,Stub
453,Peter Arnold (politician),Australia,698345894,Stub
454,Sushila Chaudhary,Nepal,698571611,Stub
455,Mahendra Dhoj G.C.,Nepal,698571613,Stub
456,Sher Bahadur Tamang,Nepal,698571631,Stub
457,Hari Bahadur Khadka,Nepal,698571634,Stub
458,Tirtha Bahadur Lama,Nepal,698571661,Stub
459,Vishwendraman Pashwan,Nepal,698571662,Stub
460,Tuluram Rajbanshi,Nepal,698571672,Stub
461,Hari Lal Joshi,Nepal,698571717,Stub
462,Arjun Jang Bahadur Singh,Nepal,698571731,Stub
463,Prem Lal Singh,Nepal,698571738,Stub
464,Sebaki Devi Das Tatma,Nepal,698571745,Stub
465,Chandra Bahadur Gurung,Nepal,698571747,Stub
466,Krishna Das Shrestha,Nepal,698571748,Stub
467,Om Prakash Yadav Gulzari,Nepal,698571750,Stub
468,Omprakash Yadav,Nepal,698571758,Stub
469,Hari Parajuli,Nepal,698571782,Stub
470,Ishwar Dayal Mishra,Nepal,698571785,Stub
471,Sher Dhan Rai,Nepal,698571803,Stub
472,Bhim Bahadur Tamang,Nepal,698572100,Start
473,Bedanand Jha,Nepal,698572160,Stub
474,Mohan Prasad Pandey,Nepal,698572183,Stub
475,Shekha Nath Adhikari,Nepal,698572200,Stub
476,Dev Raj Joshi,Nepal,698572239,Stub
477,Tarinee Datt Chataut,Nepal,698572252,Stub
478,Rabindra Nath Sharma,Nepal,698572269,Stub
479,Tek Bahadur Chokhyal,Nepal,698572288,Stub
480,Dip Kumar Upadhaya (Lamichhane),Nepal,698572291,Stub
481,Brijesh Kumar Gupta,Nepal,698572322,Stub
482,Harka Bahadur Singh,Nepal,698572326,Stub
483,Narayani Datt Chataut,Nepal,698572327,NotFound
484,Mohammad Estiyak Rai,Nepal,698573619,Stub
485,Rameshwor Prasad Dhungel,Nepal,698573648,Stub
486,Parbati Chaudhary,Nepal,698573657,Stub
487,Ram Hari Subedi,Nepal,698573663,Stub
488,Malabar Singh Thapa,Nepal,698573690,Stub
489,Yagya Bahadur Basnyat,Nepal,698573707,Stub
490,Narayan Singh Pun,Nepal,698573738,Stub
491,Ram Ayodhya Prasad Yadav,Nepal,698575586,Stub
492,Ramnath Dhakal,Nepal,698575613,Stub
493,Sher Bahadur Kunwor,Nepal,698575620,Stub
494,Ram Bir Manandhar,Nepal,698575646,Stub
495,Radhe Chandra Yadav,Nepal,698575662,Stub
496,Til Kumar Menyangbo Limbu,Nepal,698575677,Stub
497,Tirtha Ram Dangol,Nepal,698575695,Stub
498,Rajendra Kumar KC,Nepal,698575714,Stub
499,Lekh Nath Neupane,Nepal,698582041,Stub
500,Frank Lark,New Zealand,698635954,Start
501,Dorji Namgyal,Bhutan,698806662,Stub
502,Ugyen Tshering,Bhutan,698806682,Stub
503,Ibrahim Didi,Maldives,698807297,Stub
504,Ibrahim Saleem,Maldives,698807322,Stub
505,Mohamed Munavvar,Maldives,698807325,Start
506,Mohamed Zahir Hussain,Maldives,698807337,Stub
507,Azima Shukoor,Maldives,698807345,Stub
508,Mohamed bin Hajj Ali Thukkala,Maldives,698807371,Stub
509,Mahmood Razi,Maldives,698807791,Stub
510,"List of members of the Løgting, 1998–2002",Faroese,698865505,Start
511,Kumaraswamy Nandagopan,Sri Lanka,698946168,Stub
512,V. Sivayogan,Sri Lanka,698946169,Stub
513,P. Ariyaratnam,Sri Lanka,698947539,Stub
514,V. Edirmannasingham,Sri Lanka,698947672,Stub
515,K. Vignarajah,Sri Lanka,698947841,Stub
516,M. Manickam,Sri Lanka,698948097,Stub
517,S. R. P. Sraiva,Sri Lanka,698948150,Stub
518,Štefan Osuský,Slovakia,698964210,C
519,Elżbieta Branicka,Poland,699022350,Stub
520,S. Pasupathipillai,Sri Lanka,699090098,Stub
521,Ananda Kumarasiri,Sri Lanka,699090515,Stub
522,Manuel Martin (conquistador),Spain,699093655,Stub
523,Thein Tun,Myanmar,699105110,Stub
524,Khin Yi,Myanmar,699105313,Stub
525,Win Aung,Myanmar,699105350,Start
526,Sao Seng Suk,Myanmar,699105456,Stub
527,Maung Oo,Myanmar,699105911,Start
